camion,viaje,origen,paradas,carga_kg,t_aprox_min,t_recol_min,t_espera_desalojo_min,t_desc_min,t_cierre_min,t_holgura_operativa_min,t_productivo_min,t_total_min,d_aprox_km,d_recol_km,d_desc_km,d_cierre_km,d_total_km,kg_por_km,kg_por_h,util_carga_pct
1,1,Estacion,28,11786.0,4.080502347783411,33.36083141904134,0.0,24.11716749783502,0.0,0.0,61.558501264659775,61.558501264659775,3.4004186231528424,3.2268052365068907,16.078111665223346,0.0,22.70533552488308,519.0850400375526,11487.609111204509,98.21666666666667
1,2,Relleno,44,11459.28,19.03860503497442,69.98826836989784,0.0,25.999416898504688,0.0,0.0,115.02629030337694,115.02629030337694,15.865504195812019,7.998044728316304,17.332944599003124,0.0,41.196493523131444,278.1615380339524,5977.388283900996,95.494
1,3,Relleno,46,10083.8,19.854281967177737,56.88833558550179,0.0,25.82521978103896,0.0,0.0,102.56783733371849,102.56783733371849,16.545234972648114,5.648055930916966,17.216813187359303,0.0,39.41010409092439,255.86839295667227,5898.808200776025,84.03166666666665
1,4,Relleno,85,10048.83,20.258822530025203,92.51672341142697,0.0,24.31295597493297,0.0,0.0,137.08850191638516,137.08850191638516,16.882352108354336,8.33612056857116,16.208637316621978,0.0,41.42710999354747,242.56652229820443,4398.106271288507,83.74025
2,1,Estacion,108,10702.99,6.83516025530024,133.9212393065005,0.0,25.458584619092296,0.0,0.0,166.21498418089303,166.21498418089303,5.695966879416867,13.320206551083414,16.97238974606153,0.0,35.98856317656182,297.39975857025905,3863.5469790203233,89.19158333333333
2,2,Relleno,82,9665.55,20.408720878724885,92.36632170924676,0.0,24.162824658042737,0.0,0.0,136.93786724601438,136.93786724601438,17.007267398937405,8.561053618207795,16.108549772028493,0.0,41.67687078917369,231.91640391847264,4235.00826807918,80.54624999999999
2,3,Relleno,12,4487.08,20.5720903668286,11.887270017016029,0.0,24.45291507105683,0.0,0.0,56.912275454901454,56.912275454901454,17.143408639023832,0.9812116695026715,16.30194338070455,0.0,34.42656368923106,130.33772526659695,4730.522507632641,37.39233333333333
3,1,Estacion,82,10498.37,5.658239321291431,102.6144233247348,0.0,20.98853059577272,0.0,0.0,129.26119324179896,129.26119324179896,4.715199434409525,10.269070554122466,13.992353730515147,0.0,28.976623719047137,362.30480478990836,4873.09597105212,87.48641666666667
3,2,Relleno,45,10402.79,19.443890851855045,48.94229021908193,0.0,22.419340352849897,0.0,0.0,90.80552142378687,90.80552142378687,16.203242376545873,4.40704836984699,14.946226901899932,0.0,35.55651764829279,292.57055212490644,6873.672329758759,86.68991666666668
3,3,Relleno,81,7639.88,19.343868520129355,103.69435554851306,0.0,22.689462649476468,0.0,0.0,145.7276867181189,145.7276867181189,16.119890433441128,10.532392591418843,15.126308432984311,0.0,41.778591457844286,182.86590651838617,3145.5436528452506,63.66566666666667
4,1,Estacion,130,9219.7,7.511178188327416,170.96652771623107,0.0,25.565229115945407,0.0,0.0,204.0429350205039,204.0429350205039,6.259315156939513,17.661087952705177,17.043486077296937,0.0,40.96388918694163,225.06896154135273,2711.105875557082,76.83083333333335
5,1,Estacion,117,7664.1,6.524358903428969,145.0467833380885,0.0,28.928203006521432,0.0,0.0,180.4993452480389,180.4993452480389,5.436965752857474,14.424463889681416,19.28546867101429,0.0,39.14689831355317,195.77796275488288,2547.6325100685995,63.8675
5,2,Relleno,84,6341.63,21.316554832705446,112.16181322570512,0.0,25.53725876109985,0.0,0.0,159.0156268195104,159.0156268195104,17.763795693921207,11.693635537617519,17.024839174066564,0.0,46.48227040560529,136.43115847532403,2392.832752417984,52.846916666666665
